MAJOR CLADE,No.REF,ORDER,FAMILY,NODE,SRB_topology,FAMILY,TOPO,mean,min,max,Reference,
MAGNOLIIDS,125,LAURALES,2,Laurales,787,1,,115.5,107,133,Bell et al. 2010,
MAGNOLIIDS,126,LAURALES,2,Laurales,787,1,,117.5,,,Magall??n et al. 2013,
MAGNOLIIDS,127,LAURALES,2,Laurales,787,1,,114.9,,,Magall??n et al. 2015,
MAGNOLIIDS,128,LAURALES,2,Laurales,787,1,,138.15,112,165.6,Massoni et al. 2015a,
MAGNOLIIDS,129,LAURALES,2,Calycanthaceae,798,1,,50.5,41,60,Wikstr??m et al. 2001,
MAGNOLIIDS,130,LAURALES,2,Calycanthaceae,798,1,,110,,,Zhou et al. 2006,
MAGNOLIIDS,131,LAURALES,2,Calycanthaceae,798,1,,98,97,100,Bell et al. 2010,
MAGNOLIIDS,132,LAURALES,2,Calycanthaceae,798,1,,,54,56,Renner 2005,
MAGNOLIIDS,133,LAURALES,2,Calycanthaceae,798,1,,104.9,91.6,119.7,Massoni et al. 2015a,
MAGNOLIIDS,134,LAURALES,2,Calycanthoideae,798,1,,,24,33,Renner 2005,
MAGNOLIIDS,135,LAURALES,2,[Siparunaceae [Gomortegaceae + Atherospermataceae]] [Monimiaceae [Hernandiaceae + Lauraceae]],794,,,92.5,82,103,Wikstr??m et al. 2001,
MAGNOLIIDS,136,LAURALES,2,[Siparunaceae [Gomortegaceae + Atherospermataceae]] [Monimiaceae [Hernandiaceae + Lauraceae]],794,,,127,,,Renner 2005,
MAGNOLIIDS,137,LAURALES,2,[Siparunaceae [Gomortegaceae + Atherospermataceae]] [Monimiaceae [Hernandiaceae + Lauraceae]],794,,,107.9,,,Magall??n et al. 2015,
MAGNOLIIDS,138,LAURALES,2,[Siparunaceae [Gomortegaceae + Atherospermataceae]] [Monimiaceae [Hernandiaceae + Lauraceae]],794,,,114.8,38.5,157.7,Massoni et al. 2015a,
MAGNOLIIDS,139,LAURALES,2,[Siparunaceae [Gomortegaceae + Atherospermataceae]],794,,,,118,124,Renner 2005,
MAGNOLIIDS,140,LAURALES,2,[Siparunaceae [Gomortegaceae + Atherospermataceae]],794,,,,97,98.4,Tank et al. 2015,
MAGNOLIIDS,141,LAURALES,2,[Siparunaceae [Gomortegaceae + Atherospermataceae]],794,,,91.8,,,Magall??n et al. 2015,
MAGNOLIIDS,142,LAURALES,2,Siparunaceae,797,1,,90,,,Renner 2005,
MAGNOLIIDS,143,LAURALES,2,[Gomortegaceae + Atherospermataceae],795,,,50.5,45,56,Wikstr??m et al. 2001,
MAGNOLIIDS,144,LAURALES,2,[Gomortegaceae + Atherospermataceae],795,,,27,12,44,Bell et al. 2010,
MAGNOLIIDS,145,LAURALES,2,[Gomortegaceae + Atherospermataceae],795,,,92.75,24.4,145.6,Massoni et al. 2015a,
MAGNOLIIDS,146,LAURALES,2,[Gomortegaceae + Atherospermataceae],795,,,,140,244,Renner et al. 2000,
MAGNOLIIDS,147,LAURALES,2,[Gomortegaceae + Atherospermataceae],795,,,,112,116,Renner 2004,
MAGNOLIIDS,148,LAURALES,2,[Gomortegaceae + Atherospermataceae],795,,,85.3,,,Tank et al. 2015,
MAGNOLIIDS,149,LAURALES,2,[Gomortegaceae + Atherospermataceae],795,,,78.4,,,Magall??n et al. 2015,
MAGNOLIIDS,150,LAURALES,2,Atherospermataceae,796,1,,,61,90,Renner 2005,
MAGNOLIIDS,151,LAURALES,2,Atherospermataceae,796,1,,54.45,12.6,92.8,Massoni et al. 2015a,
MAGNOLIIDS,152,LAURALES,2,[Monimiaceae [Hernandiaceae + Lauraceae]],789,,,48.5,32,67,Bell et al. 2010,
MAGNOLIIDS,153,LAURALES,2,[Monimiaceae [Hernandiaceae + Lauraceae]],789,,,105.1,,,Magall??n et al. 2015,
MAGNOLIIDS,154,LAURALES,2,[Monimiaceae [Hernandiaceae + Lauraceae]],789,,,124,,,Renner 2005,
MAGNOLIIDS,155,LAURALES,2,[Monimiaceae [Hernandiaceae + Lauraceae]],789,,,97.05,17.1,146.2,Massoni et al. 2015a,
MAGNOLIIDS,156,LAURALES,2,[Monimiaceae [Hernandiaceae + Lauraceae]],789,,,122,110,134,Michalak et al. 2010,
MAGNOLIIDS,157,LAURALES,2,Monimiaceae,791,1,,72,58,86,Wikstr??m et al. 2001,
MAGNOLIIDS,158,LAURALES,2,Monimiaceae,791,1,,102.5,,,Renner 2005,
MAGNOLIIDS,159,LAURALES,2,Monimiaceae,791,1,,90,87,93,Renner et al. 2010,
MAGNOLIIDS,160,LAURALES,2,Monimiaceae,791,1,,73,40,80,Michalak et al. 2010,
MAGNOLIIDS,161,LAURALES,2,Monimiaceae,791,1,,38,21,57,Bell et al. 2010,
MAGNOLIIDS,162,LAURALES,2,Monimiaceae,791,1,,94.25,39.5,143,Massoni et al. 2015a,
MAGNOLIIDS,163,LAURALES,2,[Hernandiaceae + Lauraceae],NA,,!TOPO,91.2,,,Magall??n et al. 2015,
MAGNOLIIDS,164,LAURALES,2,Hernandiaceae,792,1,,,96,120,Renner 2005,
MAGNOLIIDS,165,LAURALES,2,Hernandiaceae,792,1,,112,89,130,Michalak et al. 2010,
MAGNOLIIDS,166,LAURALES,2,Hernandiaceae,792,1,,92.3,35.7,137.7,Massoni et al. 2015a,
MAGNOLIIDS,167,LAURALES,2,Lauraceae,793,1,,174,142,206,Chanderbali et al. 2001,
MAGNOLIIDS,168,LAURALES,2,Lauraceae,793,1,,61,26,93,Michalak et al. 2010,
MAGNOLIIDS,169,LAURALES,2,Lauraceae,793,1,,101,46,146.6,Massoni et al. 2015a,
MAGNOLIIDS,170,,2,Canellales + Piperales,809,,,,128,201,Magall??n & Castillo 2009,
MAGNOLIIDS,171,,2,Canellales + Piperales,809,,,137.9,,,Magall??n et al. 2013,
MAGNOLIIDS,172,,2,Canellales + Piperales,809,,,130.5,,,Magall??n et al. 2015,
MAGNOLIIDS,173,,2,Canellales + Piperales,809,,,120.3,,,Naumann et al. 2013,
MAGNOLIIDS,174,,2,Canellales + Piperales,809,,,101.4,,,Xue et al. 2012,
MAGNOLIIDS,175,,2,Canellales + Piperales,809,,,126.5,67.4,175.2,Massoni et al. 2015a,
MAGNOLIIDS,176,CANELLALES,2,Canellales,815,1,,,125,128,Magall??n & Castillo 2009,
MAGNOLIIDS,177,CANELLALES,2,Canellales,815,1,,102,93,111,Wikstr??m et al. 2001,
MAGNOLIIDS,178,CANELLALES,2,Canellales,815,1,,78.5,50,111,Bell et al. 2010,
MAGNOLIIDS,179,CANELLALES,2,Canellales,815,1,,101.3,,,Xue et al. 2012,
MAGNOLIIDS,180,CANELLALES,2,Canellales,815,1,,122.8,,,Magall??n et al. 2013,
MAGNOLIIDS,181,CANELLALES,2,Canellales,815,1,,126,,,Magall??n et al. 2015,
MAGNOLIIDS,182,CANELLALES,2,Canellales,815,1,,83.9,,,Naumann et al. 2013,
MAGNOLIIDS,183,CANELLALES,2,Canellales,815,1,,128,,,Thomas et al. 2014,
MAGNOLIIDS,184,CANELLALES,2,Canellales,815,1,,127.5,125,134,M??ller et al. 2015,
MAGNOLIIDS,185,CANELLALES,2,Canellales,815,1,,111,,,Tank et al. 2015,
MAGNOLIIDS,186,CANELLALES,2,Canellales,815,1,,132.4,125.9,143.2,Massoni et al. 2015a,
MAGNOLIIDS,187,CANELLALES,2,Canellales,815,1,,153,108,205,Lamb & Naidoo 2016,
MAGNOLIIDS,188,CANELLALES,2,Canellaceae,817,1,,45,23,59,M??ller et al. 2015,
MAGNOLIIDS,189,CANELLALES,2,Canellaceae,817,1,,45.5,31.2,64.9,Lamb & Naidoo 2016,
MAGNOLIIDS,190,CANELLALES,2,Canellaceae,817,1,,33.75,11.3,62,Massoni et al. 2015a,
MAGNOLIIDS,191,CANELLALES,2,Winteraceae,816,1,,40.9,12.2,65.1,Massoni et al. 2015a,
MAGNOLIIDS,192,CANELLALES,2,Winteraceae,816,1,,43.5,34,53,Wikstr??m et al. 2001,
MAGNOLIIDS,193,CANELLALES,2,Winteraceae,816,1,,18.5,11,27,Bell et al. 2010,
MAGNOLIIDS,194,CANELLALES,2,Winteraceae,816,1,,91.5,74.5,120.5,Thomas et al. 2014,
MAGNOLIIDS,195,CANELLALES,2,Winteraceae,816,1,,120,,,Marqu??nez et al. 2009,
MAGNOLIIDS,196,CANELLALES,2,Winteraceae,816,1,,55.5,28,91,M??ller et al. 2015,
MAGNOLIIDS,197,PIPERALES,2,PIPERALES,810,1,,,119,175,Magall??n & Castillo 2009,
